id,full_lyrics,emotion,label
0,maukah lagi kau mengulang ragu. dan sendu yang lama. dia yang dulu pernah bersamamu. memahat kecewa. atau kau inginkan yang baru. sungguh menyayangimu. aku ingin dirimu. yang menjadi milikku. bersamaku mulai hari ini. hilang ruang untuk cinta yang lain. separuh jalan pernah dilewati. meski ada kecewa. aku yang dulu tidak begitu lagi. takkan aku ulangi. jangan duluan kau berpaling. beri aku kesempatan. aku ingin dirimu. tetap jadi milikku. bersama aku mulai hari baru. hilang ruang untuk cinta yang lain. lupakan dia pergi denganku. lupakanlah ragu denganku. ooooo aku . aku ingin dirimu aku ingin dirimu . tetap jadi milikku jangan ulangi ragu . bersamaku mulai hari baru. hilang ruang untuk cinta yang lain. aku ingin dirimu aku ingin dirimu . yang menjadi milikku setengah jalanmu denganku . bersamaku mulai hari ini. hilang ruang untuk cinta yang lain. layak untuk cantikmu itu aku,bahagia,0
1,aku tidak akan tega. menyakiti hatimu. meski kutahu ujungnya. kau takkan bersamaku. biarlah mengalir apa adanya. waktu yang menjawab. meski perih untukmu. ini engkau yang mau. dan kau tidak mau tahu. cinta ini hanyalah mimpi. jiwa ragaku termiliki. kita harus siap siap untuk. saling merelakan hati. untuk tidak bersama lagi. kita tahu ujungnya ujungnya . kau dan aku takkan pernah menyatu. biarlah mengalir apa adanya. waktu yang menjawab. meski perih untukmu. ini engkau yang mau. dan kau tidak mau tahu. cinta ini hanyalah mimpi. jiwa ragaku termiliki. kita harus siap siap untuk. saling merelakan hati. untuk tidak bersama lagi. hoo oh uh hu. waktu yang menjawab yeah. cinta ini cinta ini . hanyalah mimpi hanyalah mimpi . jiwa ragaku termiliki. kita harus siap siap untuk. saling merelakan hati. untuk tidak bersama lagi. kau yang terindah di hati,sedih,1
2,tiga ratus enam puluh lima hari. bayangmu masih menghalangi hatiku berlari. bagaimana aku bisa temukan cinta yang baru. bila kau masih difikiranku. masih jelas ditelinga. manisnya suara. derap langkah kita yang biasa seirama. kau tuntunku untuk mencinta namun tiba tiba. kau melangkah ke arah berbeda. meski waktu memang bisa sembuhkan luka. kearah melangkah ke arah beda . namun waktu tidak bisa ajak hati melupa. oh. tiga ratus enam puluh lima hari. bayangmu masih menghalangi hatiku berlari. bagaimana aku bisa temukan cinta yang baru. bila kau masih difikiranku. entah mengapa. luka yang ada. berat hati sulit melupa . meski aku hapus. kenangan di dada. oh oh oh. meski waktu memang bisa sembuhkan luka. kearah melangkah ke arah beda . namun waktu tidak bisa ajak hati melupa. oh. tiga ratus enam puluh lima hari. bayangmu masih menghalangi hatiku berlari. bagaimana aku bisa temukan cinta yang baru. bila kau masih difikiranku. masih jelas ditelinga. manis kau berkata. kau takkan pernah tinggalkan aku,sedih,1
3,"sunset di tanah anarki kian mencekam. dan sayap patah terbang tertatih bersamanya. hari ini setan bersyukur memanjatkan doa-doanya. untuk dunia tanpa pelangi. mawar merah menghitam tega bunuh asmara. ketika cinta tenggelam ku kan mewarnainya. hari ini malaikat pergi dan tak akan pernah kembali. dan kita adalah belati. bertarung lepas tiada henti. menancap keras di dada. kita belati, kita adalah belati. tak sempurna jauh dari merdeka. kita bernyanyi, belati ini abadi. tak berhenti tak kan pernah berhenti. bagai sabda gerhana menghalangi sang surya. semuanya terbakar di dalam dinginnya dosa. hari ini para pencari kan temukan jawaban. karena kita adalah belati. bertarung lepas tiada henti. menancap keras di dada. kita belati, kita adalah belati. tak sempurna, jauh dari merdeka. kita bernyanyi, belati ini abadi. tak berhenti dan tak akan pernah berhenti. gemuruh senja menghilang. esok kan datang gemilang. percayalah cinta akan menang. kesetiaan yang tak terpatahkan. kan membawamu terbang bersama. belati ini kan selalu abadi. belati ini tak kan pernah mati. belati ini kan selalu disini. lelah sudah tersingkirkan! bertarung lepas tiada henti. menancap keras di dada. kita belati, kita adalah belati. tak sempurna, jauh dari merdeka. kita bernyanyi, belati ini abadi. tak berhenti dan tak akan pernah berhenti. kita belati, kita adalah belati. tak sempurna, jauh dari merdeka. kita bernyanyi, belati ini abadi. tak berhenti dan tak akan pernah berhenti.",marah,2
4,"datang akan pergi. lewat 'kan berlalu. ada 'kan tiada. bertemu akan berpisah. awal 'kan berakhir. terbit 'kan tenggelam. pasang akan surut. bertemu akan berpisah. hey. sampai jumpa di lain hari. untuk kita bertemu lagi. 'ku relakan dirimu pergi. meskipun. 'ku 'tak siap untuk merindu. 'ku 'tak siap tanpa dirimu. 'ku harap terbaik untukmu. du-du, du-du. du-du, du-du. du-du, du-du. du-du, du-du. datang akan pergi. lewat 'kan berlalu. ada 'kan tiada. bertemu akan berpisah. awal 'kan berakhir. terbit 'kan tenggelam. pasang akan surut. bertemu akan berpisah. hey. sampai jumpa di lain hari. untuk kita bertemu lagi. 'ku relakan dirimu pergi. meskipun. 'ku 'tak siap untuk merindu. 'ku 'tak siap tanpa dirimu. 'ku harap terbaik untukmu. ooh. ooh. hey. sampai jumpa di lain hari. untuk kita bertemu lagi. 'ku relakan dirimu pergi. meskipun. 'ku 'tak siap untuk merindu. 'ku 'tak siap tanpa dirimu. 'ku harap terbaik untukmu. du-du, du-du. du-du, du-du. du-du, du-du. du-du, du-du.",sedih,1
5,tak kenal takut. tak kenal takut. tak kenal takut. tak kenal takut. hidup. hidup dengan hati yang kuat. berdiri tegak. tidak pernah menyerah. menghadapi nasib anda. berjuang untuk nasib anda. mati. mati. hidup anda mati ketika tangan anda menganggur. menanam benih kebaikan. menghadapi ketakutan anda dan menunjukkan kekuatan kehendak anda. anda harus takut tidak ada satu pun ketika. jalan leluhur membimbing anda. anda harus takut untuk tidak takut kepada siapa pun ketika anda. berjalan di sisi kanan. anda harus takut untuk takut sendiri. takut untuk tidak ada. mengepalkan tangan anda dan berjuang untuk hidup. takut untuk tidak ada. kehilangan penyebab perilaku anda. jatuh penyebab perilaku anda. menang penyebab perilaku anda. bangkit penyebab perilaku anda. biarkan napas anda menjadi senjata anda. menaklukkan kekejaman hidup. biarkan semangat anda menjadi senjata anda. menaklukkan nasib dan takdir anda. sajying manusa. sajing rasa. s tagal. aras. nanggal kapangawasa. teuas pereus lemes usap. pageuh keupul lega ailh asilit asilit asiih. teguh pengkuh silih asuh. pesapun pusaka kabuyutan. pusakana jalan kebenan. ulahtur gimbir. sanghareupan hirupan lawan tard. kami adalah satu. satu. autentifitas dari manusia dan alam. angkat lengan anda. dan tidak kenal takut. r akan. sajateing manusa. sajating rasa. nunggal sarasa. nuncgal kakangawasa. tidak pernah mengganggu siapa pun. tidak pernah menyinggung siapa pun. tidak pernah menyerang siapa pun. tetapi jika mereka melakukannya kepada anda. wajah dengan tak kenal takut.,takut,3
6,setelah begitu lama tersisa air mata. banyaknya kenangan yang tidak akan terlupakan. masa masa yang indah masa masa kita bersama. perasaan mendalam yang takkan pernah reda. maafkan aku tidak pernah mendengar. maafkan aku tidak pernah melihatmu pergi. aku ingin kau di sini. tegar aku kan mencoba melewatinya. lepas lepaskan semua yang sudah berlalu. tapi tanpa dirimu tidak mungkin aku terus berlari tanpa kaki. waktu terus berjalan tapi tidak henti aku berharap. melihat senyumanmu walau sedetik saja. maafkan aku tidak pernah mendengar. maafkan aku tidak pernah melihatmu pergi. aku ingin kau di sini. tegar aku kan mencoba melewatinya. lepas lepaskan semua yang sudah berlalu. tapi tanpa dirimu tidak mungkin aku terus berlari tanpa kaki. erat aku kan bertahan janjiku. tekat ada untukmu sampai selamanya. tapi tanpa dirimu tidak mungkin aku terus berlari tanpa kaki. oh semakin aku coba untuk lupakan semakin terbayang ragu tanpa kamu. aku tahu kau tidak mungkin kembali aku ingin kau di sini. tegar aku kan mencoba melewatinya lepas lepaskan semua yang sudah berlalu. tapi tanpa dirimu tidak mungkin aku terus berlari tanpa kaki. erat aku kan bertahan janjiku tekat ada untukmu sampai selamanya. tapi tanpa dirimu tidak mungkin aku terus berlari tanpa kaki,sedih,1
7,"nada-nada yang minor. lagu perselingkuhan. atas nama pasar semuanya begitu. klise. elegi patah hati. ode pengusir rindu. atas nama pasar semuanya begitu. banal. oh ho, lagu cinta melulu. kita memang benar-benar melayu. suka mendayu-dayu. lagu cinta melulu. kita memang benar-benar melayu. suka mendayu-dayu. lagu cinta melulu. elegi patah hati. ode pengusir rindu. atas nama pasar semuanya begitu. banal. wo ho, lagu cinta melulu. kita memang benar-benar melayu. suka mendayu-dayu. lagu cinta melulu. apa memang karena kuping melayu? suka yang sendu-sendu. lagu cinta melulu.",marah,2
8,tinggalkan mereka. di belakang kita. ketika kau jatuh. mungkin kan terasa. adakah yang hilang. satu yang tersisa. jabat erat tanganku kini. tinggalkan rasa serakah. semua kan merubah warna dan hatinya. selalulah tertawa. tinggalkan mereka. di belakang kita. ketika kau jatuh. mungkin kan terasa. adakah yang hilang. satu yang tersisa. jabat erat tanganku kini.,bahagia,0
9,di dirimu aku menemukan. yang mencintaiku. yang menyayangiku. di dirimu aku ketakutan. kau biarkanku. kau tinggalkanku. bila kamu tidak lagi denganku. aku tidak tahu apa untuk jalani hidupku. bila memang kau pergi dariku. aku tidak ada lagi di dunia ini. mengertikah kau siang malamku. dan tangis tawaku. kau semua hidupku. pandang aku pandanglah hatiku. aku tidak mampu melangkah tanpamu. bila kamu tidak lagi denganku. aku tidak tahu apa untuk jalani hidupku. bila memang kau pergi dariku. aku tidak ada lagi di dunia ini. bukan aku tidak punya harga diri. tapi dirimu begitu berarti. kaulah nafasku engkau harga diriku. mengerti aku . bila kamu tidak lagi denganku. aku tidak tahu apa untuk jalani hidupku. bila memang kau pergi dariku. aku tidak ada lagi di dunia ini,takut,3
